word,start_time,end_time
are,3,4
we,4,4
going,4,4
to,4,4
rain,4,5
in,5,5
Stockton,5,5
and,7,7
it,7,8
took,8,8
us,8,8
ages,8,9
could,9,9
you,9,9
call,9,9
me,9,9
sir,9,10
by,10,10
train,10,10
to,10,10
Victoria,10,13
then,14,15
I,15,16
got,16,16
an,16,16
underground,16,16
train,16,17
to,17,17
Bowdoin,17,20
Street,20,20
and,20,21
because,21,21
of,21,21
this,21,22
rain,22,22
Won't,22,23
Say,23,24
Yeah,24,24
lyrics,24,27
from,27,27
Will,27,28
&,28,28
Street,28,28
Oakland,31,32
move,32,32
line,32,33
and,33,34
me,34,34
go,34,35
on,35,35
the,35,35
train,35,35
to,35,36
Green,36,36
Street,36,36
and,38,38
it,38,40
was,40,40
fine,40,40
that,40,40
I,40,40
was,40,41
able,41,41
to,41,41
a,41,41
device,41,41
University,41,43
end,44,45
now,47,47
I'm,47,48
doing,48,48
speech,48,48
recording,48,49
are,58,58
you,58,58
still,58,59
haven't,59,59
worked,59,59
on,59,60
the,60,60
bus,60,60
and,60,65
been,66,66
kind,66,67
of,67,67
out,67,67
of,67,68
McDonald's,68,69
Cannon,69,69
it,73,74
was,74,74
fun,74,74
after,79,79
this,79,79
I'm,79,80
going,80,80
to,80,81
do,81,82
some,82,82
more,82,82
shopping,82,82
is,84,85
a,85,85
penguin,85,85
10,85,85
lb,85,86
to,86,86
get,86,86
with,86,87
Myself,87,88
by,88,89
and,90,91
get,91,91
them,91,91
uncle,91,91
and,91,92
Auntie,92,92
Anne's,92,93
are,93,94
going,94,94
to,94,94
bomb,94,95
going,95,95
to,95,95
get,95,95
and,95,96
and,99,99
then,99,99
we,99,99
going,99,99
to,99,99
go,99,100
home,100,100
cuz,100,101
I'll,101,102
talk,102,102
to,102,102
the,102,102
harmony,102,103
because,103,104
I'm,104,104
lonely,104,104
and,104,105
that's,110,110
why,110,110
we,110,110
have,110,110
the,110,111
game,111,111
Food,111,111
Matters,111,111
2:40,111,112
and,114,116
you,116,116
know,116,116
I,116,116
see,116,116
that,116,116
at,118,119
1:30,119,119
that,119,119
it's,119,121
clean,121,121
out,121,122
on,125,126
my,126,126
way.,126,126
what's,128,129
your,129,129
dog's,129,129
name,129,129
Buddy,129,130
Buddy,130,131
